Racist-Skin_color,*bruin*,*zwart*,kleurboek,koffie*,*neger*,*nikker*
Racist-Nationality,*bougnoul*,*makak*,*oost-blok*,*oostblok*,+afghaan*,+afrikaan*,+albanees,+algerijn*,+amerikaan*,+andorrees,+angolees,+antiguaan*,+argentijn*,+armeens*,+armenier,+armeniër,+australier,+australisch*,+australiër,+azerbeidzjaan*,+azeri,+aziaat,+aziatisch*,+bahamaan*,+bahreiner,+bahreini,+barbadaan*,+barbadiaan*,+barbudaan*,+belarus,+belauer,+belg,+belgisch*,+belizaan*,+bengaal*,+bengalees,+bengalese,+beniner,+berber,+berbers*,+bhutanees,+birmaan*,+birmees,+boliviaan*,+bosnier,+bosnisch*,+bosniër,+botswaan*,+braziliaan*,+brit,+brits*,+bruneier,+bulgaar*,+burkinees,+burundees,+cambodjaan*,+canadees,+centraal-afrikaan*,+chileen*,+chinees,+colombiaan*,+comorees,+congolees,+cubaan*,+cyprioot,+cypriotisch*,+deen*,+djiboutiaan*,+dominicaan*,+duits*,+ecuadoraan*,+egyptenaar,+egyptisch*,+engels*,+engelsman,+equatoriaal-guineeer,+equatoriaal-guineeër,+eritreeer,+eritreeër,+est,+estlander,+estlands*,+ethiopier,+ethiopisch*,+ethiopiër,+europeaan,+europeaans*,+europees,+fijier,+fijiër,+filipijn*,+filipin*,+fin,+fins*,+francaise,+frans*,+française,+gabonees,+gambiaan*,+georgier,+georgisch*,+georgiër,+ghanees,+grenadaan*,+grenadiaan*,+griek,+grieks*,+groenlander,+guatemalaan*,+guatemalteek,+guinee-bissauer,+guineeer,+guineeër,+guyaan*,+guyanees,+haitiaan*,+haïtiaan,+hondurees,+hongaar*,+hongkonger,+hutu,+ier,+iers*,+ijslander,+ijslands*,+indier,+indisch*,+indiër,+indonesier,+indonesisch*,+indonesiër,+iraans*,+irakees,+iraki,+iranier,+iraniër,+israeli,+israelier,+israelisch*,+israëli,+israëliër,+italiaan*,+ivoriaan*,+jamaicaan*,+japanner,+japans*,+jemeniet,+jordaans*,+jordanier,+jordaniër,+kaapverdier,+kaapverdisch*,+kaapverdiër,+kalaallit,+kameroener,+kameroens*,+kazach,+kazak,+keniaan*,+kenyaan*,+kirgies,+kiribatier,+kiribatiër,+koeweiter,+koeweiti,+kongolees,+koreaan*,+kroaat,+kroatisch*,+laotiaan,+lesothaan,+let,+letlander,+lets*,+libanees,+liberiaan*,+libier,+libiër,+liechtensteiner,+litouwer,+litouws*,+luxemburger,+luxemburgs*,+macauer,+macedonier,+macedonisch*,+macedoniër,+malagassier,+malagassiër,+malawier,+malawiër,+maldivier,+maldiviër,+maleisier,+maleisisch*,+maleisiër,+malinees,+maltees,+marokaan*,+marokanen,+marokkaan*,+marshalleilander,+mauritanier,+mauritaniër,+mauritiaan*,+mexicaan*,+micronesier,+micronesisch*,+micronesiër,+moldavier,+moldavisch*,+moldaviër,+monegask*,+mongolier,+mongoliër,+montenegrijn*,+mozambikaan*,+myanmarees,+namibier,+namibisch*,+namibiër,+nauruaan*,+nederlander,+nederlands*,+nepalees,+nicaraguaan*,+nieuw-zeelander,+nieuw-zeelands*,+nigerees,+nigeriaan*,+noor,+noord-afrikaan*,+noord-koreaan*,+noordafrikaan*,+noordkoreaan*,+noors*,+oegandees,+oekraiens*,+oekrainer,+oekraïens*,+oekraïner,+oezbeek*,+omani,+omaniet,+oost-timorees,+oostenrijker,+oostenrijks*,+pakistaan*,+pakistani,+palauer,+panamees,+paraguayaan*,+paraguees,+peruaan*,+peruviaan*,+pool*,+portugees,+qatarees,+qatari,+redondaan*,+roemeen*,+roma,+rus,+russisch*,+rwandees,+salomonseilander,+salvadoraan,+samoaan,+santomees,+saoedi,+saoedier,+saoedisch,+saoediër,+saudi,+saudier,+saudisch,+saudiër,+schot,+schots*,+senegalees,+servier,+servisch*,+serviër,+seycheller,+singaporees,+slovaak*,+sloveen*,+slowaak*,+soedanees,+somalier,+somalisch*,+somaliër,+spaans*,+spanjaard,+sudanees,+surinaams*,+surinamer,+swazi,+swazier,+swaziër,+syrier,+syrisch*,+syriër,+tadzjiek,+tanzaniaan*,+thai,+thailander,+thaisch*,+toetsie,+togolees,+tongaan*,+trinidadaan*,+trinidadiaan*,+tsjadier,+tsjadiër,+tsjech,+tsjechisch*,+tunesier,+tunesisch*,+tunesiër,+turk,+turkmeen*,+turks*,+tuvaluaan*,+uruguayaan*,+uruguees,+vanuatuaan*,+venezolaan*,+vietnamees,+wit-rus,+wit-russisch*,+zambiaan*,+zigeuner*,+zimbabwaan*,+zuid-afrikaan*,+zuidafrikaan,+zuid-koreaan*,+zuidkoreaan*,+zweed*,+zwitser,+zwitsers*
Racist-Religion,+islam,+jood,+moslim,+moslima,+profeet,+soeniet,+soenniet,+zionist,booslimschoft,dhimmit*,extremist,godsdienstverkrachter,hadji,halal+,islam+,*islamiet,islamist,joden+,kuffar,mohammedist,moslem,moslim+,muselman,muzelman,muzzie,nepgeloof,profeet+,zandgod,zwartrok
Racist-Migration,+allochtoon,+buitenlander,+illegaal,+immigrant,+migrant,+vreemdeling,anders+,anderslander,derdewereld*,illegaal+,import*,vierdewereld*,vreemd*
Racist-Country,+maghreb,broes,*grot*,mosselland,nazi,untermensch,zand*
Racist-Culture,*sluier+,+sluier*,geiten+,haatbaard,halal+,kameel+,kamelen+,laken,leghen,roma,schapen+,tapijtenduiker,tentzeil,theedoek,zandfretter,zigeuner,zwartrok
Racist-Animals,*aap,*luis,*parasiet,*rat,aap*,apen*,beest,kakkerlak,leghen,luizegaard,luizen*,mossel*,ongedierte,varken
Racist-Crime,barbaar,crapulle,crapuul,dhimmit,extremist,gespuis,koppensnellers,krapuul,moordenaar,ontploffingsgevaar,rotjong*,schorem,terroris+,tramalant*,tuig,uitschot
Racist-Race,*ras,*soort
Racist-Stereotypes,abdul*,khaled*,mohamed*,mohammed*,mustaffa*,rachid*
Neutral-Skin_color,zwart,zwarte
Neutral-Nationality,afghaan*,afrikaan*,albanees,algerijn*,amerikaan*,andorrees,angolees,antiguaan*,argentijn*,armeens*,armenier,armeniër,australier,australisch*,australiër,azerbeidzjaan*,azeri,aziaat,aziatisch*,bahamaan*,bahreiner,bahreini,barbadaan*,barbadiaan*,barbudaan*,belarus,belauer,belg,belgisch*,belizaan*,bengaal*,bengalees,beniner,berber,berbers*,bhutanees,birmaan*,birmees,boliviaan*,bosnier,bosnisch*,bosniër,botswaan*,braziliaan*,brit,brits*,bruneier,bulgaar*,burkinees,burundees,cambodjaan*,canadees,centraal-afrikaan*,chileen*,chinees,colombiaan*,comorees,congolees,cubaan*,cyprioot,cypriotisch*,deen*,djiboutiaan*,dominicaan*,duits*,ecuadoraan*,egyptenaar, egyptisch*,engels*,engelsman,equatoriaal-guineeer,equatoriaal-guineeër,eritreeer,eritreeër,est,estlander,estlands*,ethiopier,ethiopisch*,ethiopiër,europeaan,europeaans*,europees,fijier,fijiër,filipijn*,filipin*,fin,fins*,francaise,frans*,française,gabonees,gambiaan*,georgier,georgisch*,georgiër,ghanees,grenadaan*,grenadiaan*,griek,grieks*,groenlander,guatemalaan*,guatemalteek,guinee-bissauer,guineeer,guineeër,guyaan*,guyanees,haitiaan*,haïtiaan,hondurees,hongaar*,hongkonger,hutu,ier,iers*,ijslander,ijslands*,indier,indisch*,indiër,indonesier,indonesisch*,indonesiër,iraans*,irakees,iraki,iranier,iraniër,israeli,israelier,israelisch*,israëli,israëliër,italiaan*,ivoriaan*,jamaicaan*,japanner,japans*,jemeniet,jordaans*,jordanier,jordaniër,kaapverdier,kaapverdisch*,kaapverdiër,kalaallit,kameroener,kameroens*,kazach,kazak,keniaan*,kenyaan*,kirgies,kiribatier,kiribatiër,koeweiter,koeweiti,kongolees,koreaan*,kroaat,kroatisch*,laotiaan,lesothaan,let,letlander,lets*,libanees,liberiaan*,libier,libiër,liechtensteiner,litouwer,litouws*,luxemburger,luxemburgs*,macauer,macedonier,macedonisch*,macedoniër,malagassier,malagassiër,malawier,malawiër,maldivier,maldiviër,maleisier,maleisisch*,maleisiër,malinees,maltees,marokaan*,marokanen,marokkaan*,marshalleilander,mauritanier,mauritaniër,mauritiaan*,mexicaan*,micronesier,micronesisch*,micronesiër,moldavier,moldavisch*,moldaviër,monegask*,mongolier,mongoliër,montenegrijn*,mozambikaan*,myanmarees,namibier,namibisch*,namibiër,nauruaan*,nederlander,nederlands*,nepalees,nicaraguaan*,nieuw-zeelander,nieuw-zeelands*,nigerees,nigeriaan*,noor,noord-afrikaan*,noordafrikaan*,noord-koreaan*,noordkoreaan*,noors*,oegandees,oekraiens*,oekrainer,oekraïens*,oekraïner,oezbeek*,omani,omaniet,oost-timorees,oostenrijker,oostenrijks*,pakistaan*,pakistani,palauer,panamees,paraguayaan*,paraguees,peruaan*,peruviaan*,pool*,portugees,qatarees,qatari,redondaan*,roemeen*,roma,rus,russisch*,rwandees,salomonseilander,salvadoraan,samoaan,santomees,saoedi,saoedier,saoedisch,saoediër,saudi,saudier,saudisch,saudiër,schot,schots*,senegalees,servier,servisch*,serviër,seycheller,singaporees,slovaak*,sloveen*,slowaak*,soedanees,somalier,somalisch*,somaliër,spaans*,spanjaard,sudanees,surinaams*,surinamer,swazi,swazier,swaziër,syrier,syrisch*,syriër,tadzjiek,tanzaniaan*,thai,thailander,thaisch*,toetsie,togolees,tongaan*,trinidadaan*,trinidadiaan*,tsjadier,tsjadiër,tsjech,tsjechisch*,tunesier,tunesisch*,tunesiër,turk,turkmeen*,turks*,tuvaluaan*,uruguayaan*,uruguees,vanuatuaan*,venezolaan*,vietnamees,wit-rus,wit-russisch*,zambiaan*,zigeuner,zimbabwaan,zuid-afrikaan*,zuidafrikaan*,zuid-koreaan*,zuidkoreaan*,zweed*,zwitser,zwitsers*
Neutral-Country,afghanistan,afrika,albanië,albanie,algerije,amerika,andorra,angola,antigua,argentinië,argentinie,armenië,armenie,australië,australie,azerbeidzjan,azie,azië,bahamas,bahrein,bangladesh,barbados,barbuda,belarus,belgië,belgie,belize,benin,bhutan,bolivia,bosnië,bosnie,botswana,brazilië,brazilie,brunei,bulgarije,burkina,burundi,cambodja,canada,chili,china,colombia,comoren,congo,costa,cuba,cyprus,denemarken,djibouti,dominica,duitsland,ecuador,egypte,emiraten,engeland,equatoriaal-guinea,eritrea,estland,ethiopië,ethiopie,europa,faso,fiji,filipijnen,finland,frankrijk,gabon,gambia,georgië,georgie,ghana,grenada,griekenland,groenland,groot-brittannië,groot-brittannie,brittanië,brittanie,guatemala,guinee,guinee-bissau,guyana,haïti,haiti,herzegovina,honduras,hongarije,hongkong,ierland,ijsland,indië,indie,indonesië,indonesie,irak,iran,israël,israel,ivoorkust,jamaica,japan,jemen,jordanië,jordanie,kaapverdië,kaapverdie,kameroen,kazachstan,kenia,kirgizië,kirgizie,kiribati,koeweit,korea,kroatië,kroatie,lanka,laos,leone,lesotho,letland,libanon,liberia,libië,libie,liechtenstein,litouwen,luxemburg,macau,macedonië,macedonie,madagaskar,maghreb,malawi,maldiven,maleisië,maleisie,mali,malta,marino,marokko,marshalleilanden,mauritanië,mauritanie,mauritius,mexico,micronesia,moldavië,moldavie,monaco,mongolië,mongolie,montenegro,mozambique,myanmar,namibië,namibie,nauru,nederland,nepal,nicaragua,nieuw-zeeland,niger,nigeria,noord-afrika,noordafrika,noord-korea,noordkorea,noorwegen,oceanie,oceanië,oeganda,oekraïne,oekraine,oezbekistan,oman,oost-timor,oostenrijk,pakistan,palau,panama,paraguay,peru,polen,portugal,qatar,redonda,republiek,rica,roemenië,roemenie,rusland,rwanda,salomonseilanden,salvador,samoa,san,saoedi-arabië,saoedie-arabie,saudi-arabië,saudi-arabie,schotland,senegal,servië,servie,seychellen,sierra,singapore,slovenië,slovenie,slowakije,soedan,somalië,somalie,spanje,sri,suriname,swaziland,syrië,syrie,tadzjikistan,tanzania,thailand,tobago,togo,tonga,trinidad,tsjaad,tsjechië,tsjechie,tunesië,tunesie,turkije,turkmenistan,tuvalu,uruguay,vanuatu,vaticaanstad,venezuela,vietnam,wit-rusland,zambia,zimbabwe,zuid-afrika,zuidafrika,zuid-korea,zuidkorea,zweden,zwitserland
Neutral-Religion,islam,islamitisch,jood,moslim,moslima,soeniet,soenniet,zionist
Neutral-Migration,allochtoon,buitenlander,buitenlands,illegaal,immigrant,migrant,vreemdeling
Racist-Diseases,kanker+,virus